Run Set,Run #,Runner,Status,Remoted Computer,RW AoA 1st (deg),RW AoA 2nd (deg),RW AoA 3rd (deg),RW Move X 1st (mm),RW Move x 2nd (mm),RW Move Z 1st (mm),RW Move Z 2nd (mm),Iterations,Car Lift,Car Drag,Rw Lift ,Rw Drag,RW L/D ,Time/Iter,Total TIme,Notes
LHS,17,Pran,Complete,,7.36,22.91,53.58,-3.86,3.82,20.61,12.88,1959,289.6312,136.9243,134.0436,55.7813,2.403020367,192.32,51.23191111,
LHS,18,Pran,Complete,,7.87,23.02,54.49,2.08,4.13,19.46,11.94,1981,289.6423,137.8147,134.3407,56.37594,2.382943859,192.32,52.4072,
LHS,19,Viktor,Complete,,8.23,29.49,60.91,3.42,8.44,15.43,8.64,2000,304.2165,151.3135,147.3936,66.99242,2.20015339,53.135,14.75972222,
LHS,20,Viktor,Complete,,10.86,23.96,54.07,-0.57,7.34,21.55,11.23,2000,292.2083,140.3258,136.4667,58.31463,2.340179471,53.135,14.75972222,
LHS,21,Viktor,Complete,,5.65,30.84,60.32,1.34,7.95,21.92,10.5,2000,308.7494,150.3602,147.107,66.13841,2.224229461,53.135,14.75972222,
LHS,22,Viktor,Complete,,9.18,27.39,54.56,2.33,8.58,19.83,8.2,2000,297.969,143.8668,140.7531,61.07622,2.304548317,53.135,14.75972222,
LHS,23,Viktor,Complete,,8.5,29.8,59.13,2.53,6.15,18.56,10.92,2000,245.648,109.6327,98.49305,35.17805,2.799843937,53.135,14.75972222,
LHS,24,Viktor,Complete,,5.97,24.58,53.92,-3.66,2.03,20.28,8.88,2000,202.548,92.23079,65.93684,23.50117,2.805683292,53.135,14.75972222,
LHS,25,Viktor,Complete,,8.86,25.28,59.56,4.04,2.61,14.66,14.12,2000,247.0983,110.375,101.5281,35.64892,2.847999322,53.135,14.75972222,
LHS,26,Viktor,Complete,,7.3,28,54.69,1.19,4.96,21.59,6.51,2000,299.3966,144.7117,141.5536,61.31448,2.308648789,53.135,14.75972222,
LHS,27,Viktor,Complete,,5.88,30.42,57.32,-0.25,6.53,14.47,9.25,2000,305.6043,64.22457,145.9952,64.22457,2.273198559,53.135,14.75972222,
LHS,28,Viktor,Complete,,8.75,24.83,55.87,2.01,4.23,15.03,7.33,2000,296.497,141.9071,138.1086,59.00427,2.340654329,53.135,14.75972222,
LHS,29,Viktor,Complete,,10.56,23.7,57.47,-3.44,2.31,15.97,8.3,1721,295.3277,142.9257,136.6624,59.81169,2.284877756,171.244,34.29636778,
LHS,30,Viktor,Complete,,9.87,28.62,56.33,3.13,5.78,15.54,13.27,1723,297.0465,146.2193,139.2785,62.33307,2.234423878,171.244,34.39150333,
LHS,31,Pran,Complete,,9.34,26.23,56.22,-2.47,8.71,16.54,9.45,2000,298.707,144.8213,140.7606,61.53934,2.287327098,192.32,53.42222222,
LHS,32,Viktor,Complete,,10.98,25.89,58.95,2.55,5.26,21.83,13.47,1948,244.2779,110.513,99.85004,35.78459,2.790308342,171.244,45.09425333,
LHS,33,Viktor,Complete,,6.22,24.1,54.28,3.85,6.76,14.71,12.96,1940,292.6078,138.2417,134.4504,56.30318,2.387971692,171.244,44.71371111,
LHS,34,Pran,Complete,,9.46,25.47,57.66,-3.13,5.55,20.99,11.67,1993,297.9356,144.3764,138.5203,61.4649,2.25364883,192.32,53.04826667,
LHS,35,Pran,Complete,,10.13,26.9,58.07,2.81,7.44,17.04,14.3,1969,297.4035,145.1039,140.2187,62.24693,2.25262033,171.244,46.09317667,
LHS,36,Pran,Complete,,9.54,25.65,59.82,3.22,7.78,18.53,10.32,2000,299.3625,147.2125,142.8455,63.40643,2.252855113,192.32,53.42222222,
LHS,37,Viktor,Complete,,10.29,27.11,59.2,-2.68,4.73,20.83,7.15,1982,242.5714,110.0337,99.48289,35.2899,2.819018756,171.244,46.71155778,
LHS,38,Pran,Complete,,8.37,30.58,60.66,-0.1,2.14,20.33,13.1,1965,307.3805,151.9619,148.4421,67.39818,2.202464518,53.135,14.24313194,
LHS,39,Viktor,Complete,,10.39,28.91,53.53,-1.8,3.46,16.82,6.8,1697,297.2027,144.8847,137.3983,60.87802,2.256944296,171.244,33.15474111,
LHS,40,Viktor,Complete,,5.72,23.23,57.81,0,1.14,19.01,13.68,1924,293.102,139.8235,135.8927,57.56176,2.360815583,171.244,43.95262667,
LHS,41,Viktor,Complete,,7.04,24.64,59.36,1.51,5.98,21.26,11.34,1935,298.3455,144.8197,140.6392,61.37934,2.291311702,171.244,44.47587222,
LHS,42,Viktor,Complete,,8.03,26.13,55.35,-2.76,4.43,18.76,10.71,1934,297.5519,142.8322,140.1434,60.3574,2.321892593,171.244,44.42830444,
LHS,43,Viktor,Complete,,5.46,26.64,58.38,0.81,7.02,19.63,12.32,2000,299.937,145.2801,144.0663,62.07791,2.320733736,53.135,14.75972222,
LHS,44,Viktor,Complete,,7.18,26.42,56.52,-3.27,1.9,22.11,9.17,1956,296.0889,143.6314,138.7832,60.73401,2.28509858,171.244,45.47479556,
LHS,45,Viktor,Complete,,6.58,27.68,55.59,-1.29,7.18,17.12,7.5,1966,302.4586,145.9273,142.9904,61.77829,2.314573615,171.244,45.95047333,
LHS,46,Viktor,Complete,,10.12,25.79,60.22,-0.83,3.31,15.81,7.98,1946,303.2906,147.3111,142.8299,63.68378,2.242798716,171.244,44.99911778,
LHS,47,Viktor,Complete,,7.7,29.64,58.61,0.52,3.59,17.77,9.83,1956,305.1996,149.7949,145.4555,65.3561,2.225584146,171.244,45.47479556,
Set (g) #1,48,Viktor,Complete,,11.12,27.9357,54.8979,-3.86,1.14,14.47,14.46,2000,294.983,143.5891,138.7271,61.15298,2.268525589,53.135,14.75972222,
Set (g) #1,49,Viktor,Complete,,5.28,26.2545,59.7139,4.04,8.92,22.31,6.51,2000,302.9437,146.5783,144.846,63.25571,2.289848616,53.135,14.75972222,
Set (g) #1,50,Viktor,Complete,,11.12,22.91,53.13,4.04,8.92,14.47,10.0179,2000,287.6302,138.2111,133.9118,56.66565,2.36319181,53.135,14.75972222,
Set (g) #1,51,Viktor,Complete,,5.28,30.84,60.98,-3.86,1.14,22.31,14.46,2000,306.2263,150.1111,147.304,65.99407,2.232079337,53.135,14.75972222,
Set (c) #1,52,Viktor,Complete,,11.1,25.47,56.8,-2.21,7.58,14.54,12.71,2000,297.3863,144.1489,139.9183,61.3435,2.280898547,53.135,14.75972222,
Set (c) #1,53,Viktor,Complete,,10.56,26.96,60.38,-3.35,3.98,16.46,14.28,2000,304.4809,148.6109,144.5514,64.99645,2.223989156,53.135,14.75972222,
Set (c) #1,54,Viktor,Complete,,10.28,23.93,56.33,-1.74,2.15,16.02,13.58,1955,293.878,141.775,137.8034,59.33125,2.322610766,53.135,14.09553472,
Set (v) #1,55,Viktor,Complete,,5.5,23.3,60.2,-1.09,1.67,18.22,6.56,1949,294.5642,143.0132,138.9658,59.88217,2.320654044,53.135,14.00697639,
Set (s) #1,56,Viktor,Complete,,10.98,28.87,54.7,-3.28,2.28,15.93,14.46,1950,296.6386,144.7325,138.88683,61.84636,2.245675089,53.135,14.02173611,
Set (s) #1,57,Viktor,Complete,,10.89,28.54,55.51,-3.47,3.56,15.42,14.3,1961,300.0203,145.232,139.5166,62.02934,2.249203361,53.135,14.18409306,
Set (g) #2,58,Viktor,Complete,,6.29,30.84,59.61,-3.86,8.92,14.47,14.46,2000,305.2481,149.4147,146.2619,65.36714,2.237544736,53.135,14.75972222,
Set (g) #2,59,Viktor,Complete,,6.25,30.84,57.73,4.04,8.92,14.47,6.51,2000,306.6742,150.3832,147.2986,65.6516,2.243640673,53.135,14.75972222,
Set (g) #2,60,Viktor,Complete,,7.9,30.84,60.98,1.52,1.14,14.47,6.51,2000,308.7821,153.0072,150.7998,68.69665,2.195155077,53.135,14.75972222,
Set (g) #2,61,Viktor,Complete,,7.64,22.91,54.42,1.09,8.92,22.31,14.46,2000,292.4002,138.9151,137.3658,57.39139,2.393491428,53.135,14.75972222,
Set (g) #2,62,Viktor,Complete,,8.87,22.91,59.73,-3.86,1.14,22.31,14.46,2000,293.878,142.6197,136.7159,60.15941,2.272560519,53.135,14.75972222,
Set (g) #2,63,Viktor,Complete,,8.83,22.91,57.86,4.04,1.14,22.31,6.51,2000,292.4074,140.6221,136.4622,58.69895,2.324780937,53.135,14.75972222,
Set (c) #2,64,Viktor,Complete,,7.03,25.11,55.71,-1,8.66,21.66,14.41,2000,296.3597,141.683,137.2884,58.90002,2.330871874,53.135,14.75972222,
Set (c) #2,65,Viktor,Complete,,7.15,28.62,56.89,-2.6,8.76,17.34,14.09,2000,299.6031,145.5966,137.9478,61.75607,2.233752893,53.135,14.75972222,
Set (c) #2,66,Viktor,Complete,,6.45,30.73,58.03,-3.48,8.41,15.66,13.93,2000,303.6599,147.9311,142.8493,64.04252,2.230538399,53.135,14.75972222,
Set (c) #2,67,Viktor,Complete,,5.91,29.1,56.6,-3.77,8.81,14.99,14.15,2000,316.4868,151.4564,144.3974,62.29432,2.317986616,53.135,14.75972222,Weird Midwing Jumps and residuals. Like wacky 
