Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0.08,-0.003954052,0.010878328,1.181480293,-0.002016408,0.010726557,0.989822123,0.25077961,,,,,
0.081,-0.004024921,0.010612139,1.203283332,-0.002018209,0.010916172,0.989682723,0.25077166,,,,,
0.082,-0.004087481,0.01033395,1.224548715,-0.002022967,0.011132444,0.989540825,0.250763874,,,,,
0.083,-0.004138383,0.010045189,1.245251823,-0.002030664,0.011373326,0.989396724,0.250756254,,,,,
0.084,-0.004174929,0.009747304,1.265370765,-0.002041277,0.011636609,0.989250829,0.250748803,,,,,
0.085,-0.004195203,0.00944175,1.284886434,-0.002054778,0.011919932,0.989103647,0.250741524,,,,,
0.086,-0.004198147,0.009129973,1.303782552,-0.002071135,0.012220799,0.988955754,0.250734419,,,,,
0.087,-0.004183593,0.008813399,1.32204569,-0.002090312,0.012536594,0.98880776,0.25072749,,,,,
0.088,-0.004152247,0.008493425,1.339665278,-0.002112269,0.012864592,0.988660283,0.25072074,,,,,
0.089,-0.004105618,0.008171405,1.356633577,-0.002136962,0.013201988,0.988513915,0.250714169,,,,,
0.09,-0.00404592,0.007848644,1.372945653,-0.002164343,0.013545903,0.988369197,0.250707781,,,,,
0.091,-0.003975928,0.007526391,1.388599315,-0.002194362,0.013893416,0.988226588,0.250701578,,,,,
0.092,-0.003898817,0.007205836,1.403595042,-0.002226962,0.014241578,0.988086453,0.25069556,,,,,
0.093,-0.003817987,0.0068881,1.417935889,-0.002262084,0.014587434,0.987949042,0.250689731,,,,,
0.094,-0.003736882,0.006574232,1.431627374,-0.002299666,0.014928051,0.987814486,0.250684092,,,,,
0.095,-0.003658818,0.006265215,1.444677341,-0.00233964,0.015260531,0.987682795,0.250678644,,,,,
0.096,-0.003586822,0.005961955,1.457095832,-0.002381936,0.015582041,0.987553861,0.25067339,,,,,
0.097,-0.003523499,0.00566528,1.468894913,-0.00242648,0.015889829,0.98742747,0.250668331,,,,,
